id,reviewer,rating,text
1,유저A,5,분위기가 정말 좋고 인테리어가 예뻐요. 사진 찍기 딱 좋은 곳!
2,유저B,3,커피 맛은 괜찮은데 가격이 너무 비싸요. 아메리카노가 6천원이라니...
3,유저C,5,디저트가 정말 맛있어요! 크로플이랑 케이크 다 훌륭합니다.
4,유저D,4,조용해서 공부하기 좋아요. 콘센트도 많고 와이파이 빠릅니다.
5,유저E,2,주차가 너무 불편하고 자리가 좁아요. 커피 맛은 보통.
6,유저F,5,뷰가 최고! 창가 자리에서 보는 야경이 너무 아름다워요.
7,유저G,4,라떼 아트가 예쁘고 원두 퀄리티가 좋아요. 핸드드립 추천합니다.
8,유저H,3,분위기는 좋은데 음료가 너무 달아요. 당도 조절이 안 돼요.
9,유저I,5,작업하기 최고의 카페! 넓은 테이블, 조용한 음악, 긴 영업시간.
10,유저J,4,케이크 종류가 다양하고 다 맛있어요. 딸기 케이크 강추!
11,유저K,2,서비스가 불친절하고 대기 시간이 너무 길어요.
12,유저L,5,인테리어가 독특하고 감성적이에요. SNS 핫플레이스 답습니다.
13,유저M,4,가성비 좋아요! 아메리카노 3500원에 리필도 됩니다.
14,유저N,3,스콘이 맛있는데 커피가 좀 약해요. 에스프레소 샷 추가 필요.
15,유저O,5,노트북 작업하기 완벽해요. 1인 좌석에 개인 콘센트까지!
16,유저P,4,핸드드립 커피가 진짜 맛있어요. 원두도 직접 로스팅한다고 합니다.
17,유저Q,2,음료 양이 적고 가격 대비 아쉬워요. 빙수는 괜찮았습니다.
18,유저R,5,테라스가 넓고 펫 동반 가능해서 좋아요! 뷰도 좋고.
19,유저S,4,마카롱이 유명한 곳인데 역시 맛있어요. 포장도 예쁩니다.
20,유저T,3,주말엔 너무 붐비고 시끄러워요. 평일에 가면 좋을 듯.
21,유저U,5,분위기 맛집! 빈티지 인테리어에 LP판 틀어주는 감성 카페.
22,유저V,4,콜드브루가 깔끔하고 좋아요. 텀블러 할인도 됩니다.
23,유저W,5,공부 카페로 최고예요. 스터디룸도 있고 음료 무한리필!
24,유저X,2,에어컨이 너무 세서 추웠어요. 맛은 그냥 평범합니다.
25,유저Y,5,티라미수가 인생 디저트! 케이크도 다 수제라 맛있어요.
26,유저Z,4,루프탑에서 보는 전망이 좋아요. 데이트 코스로 추천합니다.
27,유저AA,3,커피는 맛있는데 자리가 불편해요. 의자가 딱딱합니다.
28,유저BB,5,가격 대비 양이 많고 맛있어요. 세트 메뉴가 가성비 최고!
29,유저CC,4,조용한 분위기에서 책 읽기 좋아요. 독서 모임에 딱입니다.
30,유저DD,5,라떼가 부드럽고 진해요. 바리스타가 직접 내려주는 퀄리티!
31,유저EE,3,브런치 메뉴는 맛있는데 대기가 30분 이상이에요.
32,유저FF,5,정원이 있는 카페! 꽃이 예쁘고 사진 찍기 좋아요.
33,유저GG,4,와플이 바삭하고 아이스크림이랑 잘 어울려요. 디저트 맛집!
34,유저HH,2,웨이팅이 길고 좌석이 불편합니다. 회전율 안 좋아요.
35,유저II,5,스터디 카페처럼 집중하기 좋아요. 타이머도 있고 조용합니다.
36,유저JJ,4,싱글오리진 커피가 다양해요. 에티오피아 예가체프 추천!
37,유저KK,5,야외 테라스에서 석양 보면서 커피 마시는 게 힐링이에요.
38,유저LL,3,당근케이크가 맛있는데 커피는 평범해요. 디저트 위주로 주문하세요.
39,유저MM,4,학생 할인 되고 아메리카노가 저렴해서 자주 와요.
40,유저NN,5,감성 인테리어에 조명이 예뻐요. 데이트 장소로 완벽!
